Prefix,Vessel Name,Engine serial no,Engine Brand,Engine model,Status,Compatible,Non Conclusive Follow Up,Engine shaft power,Engine Type,Engine Mounting,Engine Fuel Used,GT,Length,Breadth,Depth,Dead Weight,Year Built,Owner Name
SB,AQUA 6,AQ6K260038,DAIHATSU,NA,"Up to B20, <B20 to B30. Consult OEM",Compatible with B20,NA,1618.0, ,Inboard,Diesel,4855,94.6,18.0,9.4,6510.0,2008.0,CYPRESS POINT PTE LTD
SB,AQUA TERRA 7,AQ6K260053,DAIHATSU,6DKM26FL,"Up to B20, <B20 to B30. Consult OEM",Compatible with B20,NA,0.0,Motor,Inboard,Diesel,4855,94.6,18.0,9.4,6510.0,2010.0,PINE VALLEY PTE. LTD.
SC,AQUAMARINE,148358,ISUZU,NA,NA,No Data Available,Not Conclusive,180.0, ,Inboard,Diesel,33,14.5,4.0,2.0,NA,2012.0,PEARL MARINE LOGISTICS PTE LTD
SP,AQUARIUS ES 3,P:46260200,CUMMINS,NA,Up to B20,Compatible with B20,NA,134.0, ,Inboard,Diesel,25,13.8,4.3,1.6,NA,2002.0,EVERLAST MARINE SERVICES PTE LTD
SC,AQUARIUS EXPRESS,41510016,CUMMINS,NA,Up to B20,Compatible with B20,NA,315.0, ,Inboard,Diesel,21,12.2,3.7,1.6,NA,2003.0,EVERLAST MARINE SERVICES PTE LTD
SP,AQUARIUS EXPRESS 11,6P18C019016,WEI CHAI,NA,Up to B30,Compatible with B30,NA,187.0,Motor,Inboard,Diesel,9,12.6,3.8,0.6,NA,2018.0,EVERLAST MARINE SERVICES PTE LTD
SP,AQUARIUS EXPRESS 12,PORT: 6P18E031552,WEI CHAI,WP6C250-25,Up to B30,Compatible with B30,NA,186.0,Motor,Inboard,Diesel,8,10.0,3.6,0.7,NA,2019.0,EVERLAST MARINE SERVICES PTE LTD
SP,AQUARIUS EXPRESS 13,Port: D917B016379,SHANGHAI DIESEL,D683ZLCA3B,Up to B30,Compatible with B30,NA,165.0,Motor,Inboard,Diesel,25,11.6,4.2,1.8,NA,2020.0,EVERLAST MARINE SERVICES PTE LTD
SP,AQUARIUS EXPRESS 3,3GS01505,CATERPILLAR,NA,"Up to B100, dealer consultation required",Compatible with B100,NA,275.0, ,Inboard,Diesel,20,12.2,4.1,1.9,NA,2003.0,EVERLAST MARINE SERVICES PTE LTD
SP,AQUARIUS EXPRESS 6,1415C013329,WEI CHAI,NA,Up to B30,Compatible with B30,NA,330.0,Motor,Inboard,Diesel,47,17.0,4.6,2.4,NA,2015.0,EVERLAST MARINE SERVICES PTE LTD
SP,AQUARIUS EXPRESS 7,D9174003947,SHANGHAI DIESEL,NA,Up to B30,Compatible with B30,NA,184.0,Motor,Inboard,Diesel,26,12.6,3.8,1.9,NA,2017.0,EVERLAST MARINE SERVICES PTE LTD
SP,AQUARIUS EXPRESS 9,D9174005944,SHANGHAI DIESEL,D683,Up to B30,Compatible with B30,NA,229.0,Motor,Inboard,Diesel,26,12.6,3.8,1.9,NA,2018.0,EVERLAST MARINE SERVICES PTE LTD
NA,AR QUEEN 8,1421K082030,WEI CHAI,WP12C500-21E121,Up to B30,Compatible with B30,NA,368.0,Motor,Inboard,Diesel,47,24.3,4.6,2.2,NA,2022.0,APOLLO RESOURCE TRADING PTE LTD
NA,AR TEN,FOO5986,WEI CHAI,NA,Up to B30,Compatible with B30,NA,195.0, ,Inboard,Diesel,48,17.5,4.8,2.0,NA,2013.0,APOLLO RESOURCE TRADING PTE LTD
SB,ARDENT,41154503,CUMMINS,NT,Up to B20,Compatible with B20,NA,447.0, ,Inboard,Diesel,960,50.7,12.0,5.2,1299.0,2010.0,SINO TANKERS PTE LTD
SR,ARION 1,L1017125,YAMAHA,NA,NA,No Data Available,Not Conclusive,33.0,Motor,Outboard,Petrol,2,8.1,2.2,0.3,NA,2015.0,OIL SPILL RESPONSE LIMITED
SB,ARTEMIS,1535,AKASAKA,NA,NA,No Data Available,Not Conclusive,1912.0, ,Inboard,Diesel,4832,94.6,18.0,9.4,6500.0,2009.0,SERIFOS SHIPPING (PTE) LTD
NA,ARUNDINA,1,WEI CHAI,WC-6WH20LC1520DF1AO,Up to B30,Compatible with B30,NA,1118.0,Motor,Inboard,DUAL FUEL - LNG or GAS OIL,4010,90.6,17.5,9.0,5540.0,2022.0,SINGFAR LOGISTICS PTE LTD
NA,ASIAN HELPING HAND III,NA,NA,NA,NA,No Data Available,Not Conclusive,NA,NA,NA,NA,1370,48.8,24.5,4.0,NA,1996.0,ASIAN LIFT PTE LTD
SR,ASIAN HERCULES II,8RB00594,NIIGATA,NA,NA,No Data Available,Not Conclusive,1491.0, ,Inboard,Diesel,10560,91.0,43.0,8.5,NA,1997.0,ASIAN LIFT PTE LTD
SR,ASIAN HERCULES III,224059,WARTSILA,9LA32,Compatible to BXX when BXX meets Wartsila biofuel specs B100,Conditionally Compatible with BXX,NA,4500.0,Motor,Inboard,Diesel,16805,101.1,52.0,10.0,NA,2011.0,ASIAN LIFT PTE LTD
