Prefix,Vessel Name,Engine serial no,Engine Brand,Engine model,Status,Compatible,Non Conclusive Follow Up,Engine shaft power,Engine Type,Engine Mounting,Engine Fuel Used,GT,Length,Breadth,Depth,Dead Weight,Year Built,Owner Name
SC,SC 3593B,511431,MITSUBISHI,unknown,Up to B30,Compatible with B30,unknown,200, ,Inboard,Diesel,23,14.2,3.5,1.6,,1997,NG BONG HANG
SC,SC 3639D,307669,MITSUBISHI,unknown,Up to B30,Compatible with B30,unknown,164, ,Inboard,Diesel,21,14.5,3.4,1.5,,1998,KEK KUO YUAN
SC,SC 3674B,76443,NISSAN,unknown,unknown,No Data Available,Not Conclusive,224, ,Inboard,Diesel,30,14.2,4.4,1.7,,1983,LOW SIANG TECK
SC,SC 3738B,34500,MITSUBISHI,unknown,Up to B30,Compatible with B30,unknown,168, ,Inboard,Diesel,25,14.3,3.6,1.7,,2000,WATER WORLD MARINE PTE LTD
SC,SC 3772B,24393,HINO,unknown,unknown,No Data Available,Not Conclusive,239, ,Inboard,Diesel,21,13.3,3.4,1.6,,1991,WONG AH CHONG
SC,SC 3779Z,6D24280163,MITSUBISHI,unknown,Up to B30,Compatible with B30,unknown,180, ,Inboard,Diesel,24,12,3.9,1.8,,2001,ENG MOTOR LAUNCH SERVICE
SC,SC 3782Z,71134,MITSUBISHI,unknown,Up to B30,Compatible with B30,unknown,146, ,Inboard,Diesel,24,13.5,3.7,1.7,,2001,UNITED MARITIME PTE LTD
SC,SC 3834F,8DC11-432379,MITSUBISHI,unknown,Up to B30,Compatible with B30,unknown,180, ,Inboard,Diesel,24,12,3.9,1.8,,2002,ENG MOTOR LAUNCH SERVICE
SC,SC 3871J,910178,ISUZU,unknown,unknown,No Data Available,Not Conclusive,264, ,Inboard,Diesel,20,13.6,3.4,1.5,,1990,YEO BOON CHONG
SC,SC 3872I,6D-24-300455,MITSUBISHI,unknown,Up to B30,Compatible with B30,unknown,180,Motor,Inboard,Diesel,25,12.4,3.9,1.8,,2002,ENG MOTOR LAUNCH SERVICE
SC,SC 3875C,31907,MITSUBISHI,unknown,Up to B30,Compatible with B30,unknown,208, ,Inboard,Diesel,24,12.3,3.8,1.8,,2002,PNG AH GEOK
SC,SC 3878H,239444,MITSUBISHI,unknown,Up to B30,Compatible with B30,unknown,301, ,Inboard,Diesel,23,14.7,3.4,1.6,,1989,WONG YU LIN
SC,SC 3894Z,D9181000166,SHANGHAI DIESEL,D683ZLCA9B,Up to B30,Compatible with B30,unknown,199, ,Inboard,Diesel,26,13.5,3.8,1.8,,2003,HHH LAUNCH SERVICES PTE LTD
SC,SC 3903B,231030,MITSUBISHI,unknown,Up to B30,Compatible with B30,unknown,172, ,Inboard,Diesel,18,12,3.3,1.6,,1982,TAN PUA SOONG
SC,SC 3904J,FUX11409,AEC,unknown,unknown,No Data Available,Not Conclusive,119, ,Inboard,Diesel,49,14.1,5.3,2.3,,1984,LIM MARINE AND SHORE SERVICES
SC,SC 3910E,202552,MITSUBISHI,unknown,Up to B30,Compatible with B30,unknown,261, ,Inboard,Diesel,13,12.1,3.3,1.1,,1994,LIM CHENG KING
SC,SC 3922I,unknown,unknown,unknown,unknown,No Data Available,Not Conclusive,,,,,28,14,3.9,1.8,,2003,ENG MOTOR LAUNCH SERVICE
SC,SC 3942C,6D16803486,MITSUBISHI,unknown,Up to B30,Compatible with B30,unknown,180,Motor,Inboard,Diesel,22,10.8,3.9,1.8,,1998,ENG MOTOR LAUNCH SERVICE
SC,SC 3989Z,D22-516443,MITSUBISHI,unknown,Up to B30,Compatible with B30,unknown,175, ,Inboard,Diesel,25,13.3,3.6,1.8,,2004,SEASWIFT LAUNCH SERVICE PTE LTD
SC,SC 4004I,130963,MITSUBISHI,unknown,Up to B30,Compatible with B30,unknown,149, ,Inboard,Diesel,15,11.5,3.2,1.4,,1982,CHUA KOK HENG
SC,SC 4040E,916226,ISUZU,unknown,unknown,No Data Available,Not Conclusive,130, ,Inboard,Diesel,28,15,3.1,2.1,,1991,CHAI AH SOOI
SC,SC 4042A,251320,MITSUBISHI,unknown,Up to B30,Compatible with B30,unknown,223, ,Inboard,Diesel,21,13.7,3.3,1.6,,1991,CHEW LIAN HOEE
SC,SC 4095B,900123,MITSUBISHI,unknown,Up to B30,Compatible with B30,unknown,134, ,Inboard,Diesel,21,13.3,3.4,1.6,,1990,WONG BO WEN. EDWIN
SC,SC 4121E,S3865,MITSUBISHI,unknown,Up to B30,Compatible with B30,unknown,186, ,Inboard,Diesel,21,14.3,3.4,1.5,,1997,WONG LAI LEE
SC,SC 4170C,5ETBE811,AEC,unknown,unknown,No Data Available,Not Conclusive,104, ,Inboard,Diesel,28,13.9,4.2,1.7,,1981,PANG KAH HOE
SC,SC 4207F,A12363,HINO,unknown,unknown,No Data Available,Not Conclusive,280,Motor,Inboard,Diesel,28,14.5,3.8,1.8,,2008,SEASWIFT LAUNCH SERVICE PTE LTD
SC,SC 4208D,654,YANMAR,6GX-GT,Up to B100. Without modification,Compatible with B100,unknown,290, ,Inboard,Diesel,23,14.5,3.5,1.6,,2008,CHEW MOON HUAT
SC,SC 4210F,A12720,HINO,unknown,unknown,No Data Available,Not Conclusive,280, ,Inboard,Diesel,28,14.5,3.8,1.8,,2008,HO KIM KEONG
SC,SC 4212B,SR011645,NISSAN,unknown,unknown,No Data Available,Not Conclusive,258, ,Inboard,Diesel,20,14.2,3.5,1.4,,1990,EVERLAST MARINE SERVICES PTE LTD
SC,SC 4229G,402736,MITSUBISHI,unknown,Up to B30,Compatible with B30,unknown,260, ,Inboard,Diesel,25,13.5,3.8,1.7,,2008,CHEW BUN SENG
SC,SC 4258J,712079,MITSUBISHI,unknown,Up to B30,Compatible with B30,unknown,149, ,Inboard,Diesel,17,12,3,1.6,,1997,ZULKIFLI BIN ALANG MOHAMED
SC,SC 4390J,F20CA12599,HINO,unknown,unknown,No Data Available,Not Conclusive,186, ,Inboard,Diesel,26,13.5,3.8,1.8,,2010,HHH LAUNCH SERVICES PTE LTD
SC,SC 4396Z,248813,MITSUBISHI,unknown,Up to B30,Compatible with B30,unknown,168, ,Inboard,Diesel,26,13.5,3.8,1.8,,2010,WONG LAY SOON
SC,SC 4403F,34500,MITSUBISHI,unknown,Up to B30,Compatible with B30,unknown,168, ,Inboard,Diesel,28,14.5,3.8,1.8,,2010,WATER WORLD MARINE PTE LTD
SC,SC 4409E,A15233,HINO,unknown,unknown,No Data Available,Not Conclusive,142, ,Inboard,Diesel,28,15,3.8,1.7,,2010,HHH LAUNCH SERVICES PTE LTD
SC,SC 4426E,1420s077703,WEI CHAI,unknown,Up to B30,Compatible with B30,unknown,300, ,Inboard,Diesel,33,14.5,4,2,,2011,HENG LEE BOAT SERVICES PTE LTD
SC,SC 4433H,14050,HINO,unknown,unknown,No Data Available,Not Conclusive,150, ,Inboard,Diesel,28,15,3.8,1.7,,2011,HHH LAUNCH SERVICES PTE LTD
SC,SC 4455I,B11715,HINO,unknown,unknown,No Data Available,Not Conclusive,280, ,Inboard,Diesel,28,14.5,3.8,1.8,,2011,WONG LAY SOON
SC,SC 4523G,F17E-18427365,HINO,unknown,unknown,No Data Available,Not Conclusive,280, ,Inboard,Diesel,21,11.6,3.5,1.8,,1991,DALIAH BINTE OTHMAN
SC,SC 4640C,33837,HINO,unknown,unknown,No Data Available,Not Conclusive,246, ,Inboard,Diesel,24,12.8,4.4,1.5,,1994,KOK CHOON BOO
SC,SC 4761B,D22-160096,MITSUBISHI,unknown,Up to B30,Compatible with B30,unknown,214, ,Inboard,Diesel,21,13.1,3.3,1.7,,1984,CHONG SEE HUA
SC,SC 4838D,3909718221A301,MAN,unknown,Up to B30,Compatible with B30,unknown,179, ,Inboard,Diesel,31,12.5,4.1,2.1,,1990,SEVEN SEAS OIL TRADING PTE LTD
SC,SC 4878C,254832,MITSUBISHI,unknown,Up to B30,Compatible with B30,unknown,140,Motor,Outboard,Diesel,30,13,4.2,1.9,,2018,ENG MOTOR LAUNCH SERVICE
SC,SC 4885F,6D17-847998,MITSUBISHI,unknown,Up to B30,Compatible with B30,unknown,140,Motor,Inboard,Diesel,22,10.8,3.9,1.8,,2000,ENGCO MARINE SERVICES PTE LTD
SC,SC 4888J,220101,MITSUBISHI,unknown,Up to B30,Compatible with B30,unknown,141, ,Inboard,Diesel,18,13.9,3.5,1.3,,1995,WONG LAY SOON
SC,SC 4893G,417751,MITSUBISHI,unknown,Up to B30,Compatible with B30,unknown,283, ,Inboard,Diesel,28,14,4.6,1.5,,1993,WONG LAI MENG
SC,SC 5031A,50001,ISUZU,unknown,unknown,No Data Available,Not Conclusive,261, ,Inboard,Diesel,14,14,3.4,1,,1993,ABDUL AZIZ BIN ATAN
SC,SC 6336G,6D-24-373707,MITSUBISHI,unknown,Up to B30,Compatible with B30,unknown,140,Motor,Inboard,Diesel,30,13,4.2,1.9,,2017,ENG MOTOR LAUNCH SERVICE
SC,SC 6688I,320959,MITSUBISHI,6D24,Up to B30,Compatible with B30,unknown,150,Motor,Inboard,Diesel,29,12.6,4.2,1.9,,2016,ENG MOTOR LAUNCH SERVICE
SC,SC 8228J,227667,MITSUBISHI,unknown,Up to B30,Compatible with B30,unknown,180, ,Inboard,Diesel,28,12,4,2,,1999,ENG MOTOR LAUNCH SERVICE
